Local Authority,Project Location,Project Details,Approved Funding (€),Approval Year
Galway County Council,Corrabaun New Inn Ballinasloe,"Clean existing field drains & roadside drains, install a 900mm pipe for approximately 30m & associated works",18000,2017
Galway County Council,Kilcreevanty Tuam,"To construct a 1.2m earthen embankment and install a flood gate barrier, along with construction of an internal collection sump and delivery pipeline with non-return valves",14400,2016
Galway County Council,Caherpeak,Relay new pipe,31500,2012
Galway County Council,"Off R446 at Srah townload, Loughrea",Installation of pipe,19800,2010
Galway County Council,Kilglass Ahascragh Ballinasloe,"To install 270m of 450mm diameter SW carrier sewer, 180m of cleaning of existing open drain & 6 no. manhole gratings",38250,2019
Galway County Council,The Walks Station Road Loughrea,Clean river & remove debris. Repair damaged crossings if applicable,27000,2010
Galway County Council,Ballinamore Bridge,Remove blockages & obstructions,31500,2011
Galway County Council,Cloonantleva Lower Fohenagh,Replacement of culverts,18000,2010
Galway County Council,Manusflynn,"Construct a 600mm diameter piped road culvert, remove obstructions & associated works",10350,2015
Galway County Council,Ryehill Demesne Monivea,Replace existing culvert with larger capacity structure,14400,2010
Galway County Council,Coolarne Turloughmore,Replace existing 450mm pipe with 560m of concrete 900mm piping and associated works,51750,2011
Galway County Council,Clarin River Ballydavid / Athenry,"Channel maintenance, replace culvert, remove weir",90000,2010
Galway County Council,Cooleran Turloughmore,Dig 240m open drain (remove trees and ditch) Lay culvert & 90m of pipe to drain (900mm diameter) & associated works,34650,2017
Galway County Council,Kilcoona,Install a new 450mm piped culvert across the road,4500,2010
Galway County Council,Baunykav Kylebrack Loughrea,To replace the existing piped section of open drain with circa 150m of 600mm diameter storm water pipeline,27000,2019
Galway County Council,Caherduff Gort Road,Clear & reinstate open drain,5400,2010
Galway County Council,Roo Kinvara,"Culvert upgrade, channel improvements & environmental reports.",76500,2016
Galway County Council,Caltragh Laurencetown Ballinasloe,Replacement of bridge,10800,2012
Galway County Council,Lydican Cregboy,Improve drainage,13500,2010
Galway County Council,Ardacong Tuam,Construct a surface water pipe along the route of the Tuam bypass for a distance of 750m to a tributary of the River Clare,83700,2016
Galway County Council,Knocktogher Kiltullagh,To carry out channel maintenance works upstream & downstream of the existing culvert along with increasing the capacity of the culvert via de-silting works,14045,2015
Galway County Council,Pribbaun Roscahill,Create a drainage channel along the boundary & feed in to historic quarry location Construct barrier/bern Associated works,22500,2014
Galway County Council,Castleblakeney,Upgrade culvert,9000,2010
Galway County Council,Drim Village,Provision of adequate drainage,27000,2010
Galway County Council,Kylemore Laurencetown,Upgrade culvert,9000,2010
Galway County Council,Bovinion Mountbellew,Replace existing culvert with culvert of larger capacity & regrade existing open drains,11700,2011
Galway County Council,Cloonatleva Ballymacward,To direct flood water to lower lands,5220,2013
Galway County Council,Newtown Abbeyknockmoy,Improvements to piped drainage system,250000,2010
Galway County Council,Kiltiernan to Ballinderreen,Main drainage works & additional pipe-laying works on the Kiltiernan channel,247870,2015
Galway County Council,Pribbaun Roscahill,Constuction of a flood wall & associated works,65376,2020
Galway County Council,Cregganna Oranmore,Install 140m of 300mm diameter pipe and 170m of open drain & associated works,12600,2018
Galway County Council,Rathgorgin Athenry,Installation of pipeline / Provide outfall to local drain / Cleaning of existing drainage channel,45000,2010
Galway County Council,"Ballyconneely, Clifden",Rock armour to provide support & protection along coastline at rear of property,54000,2019
Galway County Council,Ballaun Loughrea,"River deepening, cleaning & maintenance. Upgrade River crossing",67500,2010
Galway County Council,Carrowmore Woodlawn,To install new piped drainage system to replace existing stone & undersized culvert.,36000,2019
Galway County Council,"Moneen, Cummer, Tuam",Install 600mm pipe,9900,2010
Galway County Council,Derrydonnell Oranmore,"Channel maintenance, pipes, replacement of culverts",300000,2010
Galway County Council,Knockanranny,Replace partially collapsed culvert with a 900mm pipe,10800,2010
Galway County Council,Cahermore Kinvarra,Construction of a concrete box culvert & associated road raising,22950,2014
Galway County Council,Lackagh Beg,New drainage system,13500,2010
Galway County Council,Flaskagh Beg Dunmore,Replace stone culvert with a precast concrete box culvert of similar X-Section to the open channel to increase the capacity of the bridge,23400,2011
Galway County Council,Fahy's Grannagh,"Construct a 40m length of reinforced concrete retaining wall, 1.2m high around a section of the farmyard",5400,2016
Galway County Council,Killevny Laurencetown,Open culverts under bridge and construct channel,4050,2010
Galway County Council,Moylough Ballinasloe,Maintenance to 1.2km of channel including removal of silt & vegetation,13500,2019
Galway County Council,Ballinasloe Town Study,Study,9000,2010
Galway County Council,"Ardacong, Tuam",Study,9000,2016
Galway County Council,Tarramud & Coldwood Clarin River,Channel maintenance and upgrade of culverts,40000,2010
Galway County Council,Derrymullan Ballinasloe,Provide flood defence wall around the water plant,45200,2010
Galway County Council,"Roo, Tiervevin, Gort",,18000,2024
Galway County Council,Ballinasloe Town Centre,"Purchase Temp Flood Defence- Aquadam to be deployed as required, to be available for Galway County also",96849,2016
Galway County Council,Ballyconlought Headford,Piping of channel,23000,2010
Galway County Council,Inchaboy South Gort,Lowering of culvert. Reinstate road surface and lands,14400,2012
Galway County Council,Ryehill,"Install pipe for 260 metres / Install gullies, cattle grids and other water collection methods at number of locations",32400,2012
Galway County Council,"Cloonamore, Inishboffin",CFERM Study – Value of Enjoyment Survey,8461,2023
Galway County Council,Derrymullan Ballinasloe,Construction of a flood defence wall,354962,2011
Galway County Council,Ballyglass South Ballymore,Drain area to nearest outfall and construct two manholes at this location,54000,2010
Galway County Council,Bellayarha North,Replace existing culvert with larger capacity structure,9000,2010
Galway County Council,Carheenlea Turloughmore,"To carry out exploratory works, CCTV & a level survey of the existing pipe",4500,2012
Galway County Council,Cross St/Lake Road Loughrea,Installation of additional gullies / removal of existing culvert & replacement with a culvert of greater capacity,67500,2010
Galway County Council,Corgerry Oughter Menlough,"Replacement of culverts, regarding of channels",16200,2010
Galway County Council,Ballinderry Kilconnell Ballinasloe,Replace existing culvert with culvert of larger capacity & regrade existing open drains,16200,2011
Galway County Council,Lugbeg River Cloughbrack Clonbur,Maintenance of river banks and vegetation removal,16200,2017
Galway County Council,Cloonoo Loughrea,Construct new channel,2000,2010
Galway County Council,Gloves Athenry,Installation of drainage channel,76500,2010
Galway County Council,Maghanearla Portumna,Lay 100m of 450mm twin wall pipe in the existing grassed margin and tie-in with the existing manhole upstream of the culverted road crossing,5619,2015
Galway County Council,Bride St Loughrea,Create new water pipeline and connect to existing one,31500,2010
Galway County Council,Kylemore River Laurencetown Ballinasloe,River cleaning for 1km,13100,2012
Galway County Council,Clarin River Ballydavid / Athenry,"Channel maintenance, replace culvert, remove weir",40000,2010
Galway County Council,Knock Barnadearg,Channel maintenance works,15750,2015
Galway County Council,Deerpark Ballinasloe,Carry out drainage works upstream of the main Deerpark River channel,19000,2016
Galway County Council,Ballyhugh Gort,Installation of higher capacity culvert,22500,2012
Galway County Council,Castlegrove Tuam,Minor improvements to Corrib Clare CDS,21420,2010
Galway County Council,Turloughgarve Corrandulla,Install culvert and construct new drain,16200,2010
Galway County Council,Ganaveen Lismanny Laurencetown Ballinasloe,Upgrade existing bridge / Channel improvement works,14400,2012
Galway County Council,Oultort Portumna,Installation of 170m of surface water drain & associated works,25650,2017
Galway County Council,Crowes Spiddal,Regrading of stream / Upgrade culvert,13500,2012
Galway County Council,Oranmore to Kinvarra Coastline,,108000,2024
Galway County Council,Blane Cross Athenry,Carry out channel maintenance and re-grading works where necessary upstream & downstream of a new culvert which is to cross the L7165 and discharge into an existing drainage channel which will be maintained by Galway County under the Drainage District works programme,20534,2015
Galway County Council,Derreen Abbeyknockmoy,Construction of a new 450mm diameter piped overflow with two headwalls & a road gully to the existing open drain on the opposite side of the public road to the properties at risk,6120,2014
Galway County Council,Eskemurray Ballinasloe,"Raise & strengthen a 60m section of existing stone boundary wall, installation of flood gates, drain & sump",26100,2017
Galway County Council,East Bridge Ballinasloe,Provide a channel downstream to the Suck.Engagement of consultant to undertake conservation impact statement / Removal / modification of sluice gates,42200,2012
Galway County Council,Cloonamore - Inishboffin,Comprehensive coastal erosion & flood risk management study for Inishbofin Island as a whole,6300,2022
Galway County Council,East Bridge Ballinasloe,Provide a channel downstream to the Suck.Engagement of consultant to undertake conservation impact statement / Removal / modification of sluice gates,15120,2010
Galway County Council,Glentane Ballinasloe,To replace the existing culvert system with circa 90m of 750mm diameter storm water culvert & associated works,63450,2017
Galway County Council,Moylough Village,General maintenance of 1800m of open channel,170000,2010
Galway County Council,Mountbellew Lake Ballinasloe,,135000,2024
Galway County Council,East Bridge Ballinasloe,"East Bridge Flood Eyes - Consultant fees for design, procurement of works and land acquisition",80796,2011
Galway County Council,Dunmore Golf Club,Install 2no flap valves & construct 510m3 retaining pond,19800,2023
Galway County Council,Clarin River from Attymon to Clarinbridge - Revised,Hydrological Study of Clarin River Basin area,45000,2023
Galway County Council,East Bridge Ballinasloe,"East Bridge Flood Eyes - Consultant fees for design, procurement of works and land acquisition",27000,2011
Galway County Council,"Ballyglass, Kilconnell","Replace the existing culvert, new culvert will be at lower level and have greater capacity",9000,2010
Galway County Council,"Cregganore, Castledaly",The upgrade & repair of existing culverts Associated works,29700,2021
Galway County Council,"Roxborough, Kilchreest",Revised study and works,40253,2022
Galway County Council,"Clonfert, Ballinasloe","Pipe existing open drains for approximate distance of 124m with 1200mm diameter, clean existing open drains for approximate distance of 315m & associated works",90000,2022
Galway County Council,Parkacurry Monivea,"To clean & maintain overgrown sections of the open channel, upsize 1 no. road crossing to a 900mm diameter pipe, install 100m of 225mm diameter surface water drainage pipe & road gullies and provide two new headwalls and trash screens to outfall to existing open channel",11700,2016
Galway County Council,Baile an tSagairt An Spiddéal,Drainage maintenance works on approximately 700m of channel to include the removal of flood debris and blockages under the bridges and the controlled treatment of the invasive species along the route of the works,13596,2015
Galway County Council,Cregganore Castledaly,The upgrade & repair of existing culverts & associated works,29700,2020
Galway County Council,Rinrush Gort,"Installation of a 3m wide roadway through an area of land that floods during events, to allow for emergency access & will also permit additional access",70830,2019
Galway County Council,Kingstown Ahascragh,"Clean existing open drains, redirect & pipe an existing section of open drain, remove the collapsed open drain & replace it with 900mm twin-walled culvert",25200,2015
Galway County Council,"Kilcrow River, Killimor","Hydrological, Environmental Assessment & Cross Section Survey of the river & bridge works",36559,2022
Galway County Council,Derrydonnell Oranmore,"Channel maintenance, pipes, replacement of culverts",17224,2014
Galway County Council,Laurencetown Village Ballinasloe,Channel Improvements,29500,2012
Galway County Council,Greenville Caltra,To collect surface water run off by means of a filter drain and a catch pit/manhole. Installation of a new 600mm piped culvert & associated works,9990,2013
Galway County Council,Thornfield Portumna,Widen & deepen existing open channel / Open new section / Clear existing roadside channels / Install new culvert across N65 / Undertake reinstatement works,47250,2010
Galway County Council,Ballinakill Loughrea,To replace the existing culvert system with circa 90m of 750mm diameter storm water culvert & associated works,45000,2017
Galway County Council,Inis ni Pier Roundstone Conemara,Construct coastal protection to the public access road,210600,2010
Galway County Council,Clonbur Sports Ground Clonbur,"Maintenance of riverbanks & vegetation removal, cleaning of swallow holes & construction of a 150m embankment",36000,2017
Galway County Council,Ardacong Tuam,"To lay a pipe to connect to the storm damage 450mm diameter pipe across the road, with manhole, headwall & penstock control to provide a facility to release some flood waters from Ardacong turlough via gravity and/or pumping",20633,2017
Galway County Council,Blackrock Peterswell Gort,Construct an earthen embankment- crest level is required to have a minimum of 500mm freeboard above the highest recorded flood level which occurred in 2015. A drainage system to cater for internal surface drainage will also be required. Relevant environmental criteria shall be complied with as the proposed works are adjacent to the Peterswell Turlough SAC,18000,2016
Galway County Council,Inisboffin-South Shore,New coastal protection barrier- in form of wall constructed from integrated PC block elements- as detailed in RPS report 2014 & being used for new or repair of existing damaged sections of walls at Southern Shore,441900,2015
Galway County Council,"Aughrim, Ballinasloe",Cleaning of existing drains & upgrade piped network,36000,2021
Galway County Council,Liscune Upper Ballymacward Ballinasloe,"Replace existing culvert with culvert of larger capacity, clean & regrade open drain, clean swallow hole & install stock proof fence",16200,2011
Galway County Council,Ballyglass Turloughmore,To construct an open drain from the existing ditch/open drain for a distance of circa 275m into an existing culvert under the M63,1125,2015
Galway County Council,Emmanuel House Clonfert,To construct a flood defence wall & associated works,20000,2019
Galway County Council,Crowe St Gort,Purchase of pump which will pump water from Crowe St.,36000,2010
Galway County Council,Lowville Ahascragh,"Construct three head walls & a new open drain, replace existing pipes, reinstate public roadway & private driveway & associated works",63000,2017
Galway County Council,Kilcolumb (Keeloges West) Glenamaddy,Existing pipe and stone culvert to be replaced with 900mm diameter concrete pipe,13500,2011
Galway County Council,Atticora Creagh Ballinasloe,Install a new 450mm diameter surface water pipe for distance of 250m to an existing drain & associated works,14940,2017
Galway County Council,Lenamore Colemanstown Ballinasloe,Replace existing stone & concrete piped culvert with culvert of larger capacity & regrade existing open drains,16200,2012
Galway County Council,Clooncallagh Moylough Ballinasloe,"Construct new open drain for approximate distance of 80m, provide for 60m of 600mm diameter surface water pipeline & associated works",14940,2017
Galway County Council,Leenaun Village,Works to walls & study for full assessment of the coastline,58500,2018
Galway County Council,Portumna – Ennis Road (R352) at St. Josephs Road,Upgrade pipe / culvert on R352 at St. Josephs Road / Clean and widen existing drain to Lough Derg outfall,27000,2010
Galway County Council,Kiltiernan to Ballinderreen,Main drainage works & additional pipe-laying works on the Kiltiernan channel,194680,2019
Galway County Council,Leenaun Village (IPP),"Construction of flood defence walls, IPP for 3 properties not protected by the walls",198000,2021
Galway County Council,"Lissard, Kilconnell, Ballinasloe",Replace & upsize existing culvert & cleaning of open drains,18000,2021
Galway County Council,Sliabhcarran Gort,Installation of 750m of surface water drain,108000,2018
Galway County Council,Rahins Mountbellew,"To clean existing open roadside drains for approximately 200m, construct headwall at end of proposed 600mm diameter pipeline & associated works",36000,2018
Galway County Council,Tierney’s Yard,"Install 170m of 600mm diameter surface water drain, two manholes & a petrol interceptor",27000,2017
Galway County Council,Greenfield,Raise the road by 0.35m over a 120m long section & raise the adjoining turning-head/hard standing area by circa 0.15m (tapering down to the jetties),17100,2014
Galway County Council,Knockatee East Dunmore,"To drain flooded area to nearest outfall, comprising 150m of 12'' perforated pipe",10800,2013
Galway County Council,Oran Island Oranmore,Strengthen & raise the existing walls & provide flood gates to the front entrance.,28800,2019
Galway County Council,Eskerboy Killimor,Install a new piped drainage system to replace the existing stone & oversized culvert,56880,2020
Galway County Council,Ardskea More Corofin,Construct a maximum 2m high earthen flood defence embankment along the bank of the Abbert River for approximate length of 200m,28890,2017
Galway County Council,Feagh East Abbeyknockmoy,"Construct / replace three road crossings, supply and lay 570m of 600mm pipe, open new drain & associated works",71685,2018
Galway County Council,Caheroyn Avenue Athenry,"Construct reinforced concrete wall, construct sump, remove existing fencing & walls along river & associated works",6300,2018
Galway County Council,Pollnahallia Turlough-Monaghan,To construct an earth embankment around the perimeter of the site,5940,2017
Galway County Council,Beach Road Clifden,Rock armour works,22500,2019
Galway County Council,Farnaun Peterswell,Increase capacity to bridge and clean stream of vegetation & silt,18000,2020
Galway County Council,Gortbeg Cahergal Tuam,Improvements to Corrib Clare Arterial Drainage Scheme,49000,2010
Galway County Council,"The Quay, Kinvara",Installation of flood gates to the doors of each of the properties as set out in the Galway County Council report,1962,2021
Galway County Council,Caheroyn Drive Athenry,"Remove palisade fencing & existing stone wall, construct low stone wall & flood defence wall, construct sump & associated works",36000,2017
Galway County Council,Garrymore Ballymacward Ballinasloe,Replace existing culvert with culvert of larger capacity & regrade existing open drains,16200,2011
Galway County Council,Skenanagh Ballinasloe,"Channel maintenance works, including the removal of vegetation, upsizing of the existing road crossing & install a 900mm diameter pipe under the roadway*",18000,2018
Galway County Council,Cappakeela Portumna,Upgrade the existing road crossing culvert to 900mm and to clean and re-grade where necessary approximately 100m of open channel,9888,2015
Galway County Council,Labane Gort,Maintenance & improvements to existing swallow holes,9000,2016
Galway County Council,East Bridge Ballinasloe,Provide a channel downstream to the Suck.Engagement of consultant to undertake conservation impact statement / Removal / modification of sluice gates,40500,2010
Galway County Council,Caherawoneen South Kinvarra,Construction of box culvert bridge on existing watercourse / Road realignment,49500,2012
Galway County Council,The Quay Kinvara (IPP),Installation of flood gates to the doors of each of the properties as set out in the GCC report,40500,2020
Galway County Council,The Rossaveel Sportsgrounds,Re-grading and cleaning of the stream & existing drainage system.,9000,2021
Galway County Council,Ferragh Caherlistrane,Improvements to Corrib Clare Arterial Drainage Scheme,115000,2010
Galway County Council,Doonlooughan Pier Ballyconnelly Conemara,Construct coastal protection to the public access road,153000,2010
Galway County Council,Poolboy Ballinasloe,Upgrade culvert,19800,2010
Galway County Council,Cloonrelagh,Replace and upsize existing pipes along with construction and cleaning of open drains,25200,2020
Galway County Council,Feagh East,"Open up swallow hole, place grids on roadside",3000,2010
Galway County Council,Cloonreleagh West Mountbellew,Replace existing culvert with culvert of larger capacity & regrade existing open drains,9000,2011
Galway County Council,Glenaslat Monivea Ballinasloe,Replace existing stone culvert with culvert of larger capacity & regrade existing open drains,14400,2012
Galway County Council,Crowe Street Gort,Channel Maintenance,38000,2010
Galway County Council,Ballyglass Kilconnell,Replace two existing culverts with culverts of larger capacity & regrade existing open drains,19800,2011
Galway County Council,Shanagalish Gort,Clear swallow hole / Construct 1.4km drainage channel / Associated works,72000,2012
Galway County Council,Moneenaheeltia Laurencetown Ballinasloe,Upgrade bridge on existing watercourse,7245,2012
Galway County Council,Derryoober Woodford,Repairs to embankment,13500,2018
Galway County Council,Palmerstown/Derrydonnell North,Excavation of new drain from public road to adjacent Turlough,4725,2010
Galway County Council,Caheroyn Avenue Athenry,"Construct reinforced concrete wall, construct sump, remove existing fencing & walls along river & associated works",40500,2017
Galway County Council,Middlethird Maree Oranmore,Improve drainage system,15840,2010
Galway County Council,Kiltullagh Claregalway,Install 350m of 300mm double walled pipe from flood location to turlough entry point,20250,2011
Galway County Council,Cloonacauneen,New drainage system,13500,2010
Galway County Council,Rathglass New Inn,Upgrade culvert,13500,2010
Galway County Council,Esker Ballymacward/Scarreth,"Replace culvert, clean river",18000,2010
Galway County Council,Rosmore Woodford,Construct a new 600mm diameter storm water collection system & associated works,23400,2018
Galway County Council,Kilcloghans Tuam,"To construct a reinforced concrete flood defence wall, a 600mm pipe and flap valve to be fitted to the outfall of the existing open land drain to the Clare River",3650,2017
Galway County Council,Tonacurra Newbridge Ballinasloe,Replace existing culvert with culvert of larger capacity & regrade existing open drains,11250,2011
Galway County Council,"Caltragh, Laurencetown",Channel maintenance works,10800,2014
Galway County Council,Knockbane Moycullen,Construction of an earthen embankment & culvert upgrade.,13500,2021
Galway County Council,Derrymullan Ballinasloe,Provide flood defence wall at rear of housing developments & flood defence wall.,900000,2010
Galway County Council,Moanmore East Loughrea,Upgrade existing drain / watercourse and upgrade piped culvert section of channel,54000,2012
Galway County Council,(a)Thomastown Belclare; (b) Treenbaun Goldenpark; (c) Kilshanvy Kilconly,Combined study,10800,2010
Galway County Council,Leam Oughterard,To replace 2 no 600mm culverts with 2 no 1.2m culverts,18000,2019
Galway County Council,Ardmore Kilkieran,Increase capacity instream by widening instream for 150m,4500,2019
Galway County Council,Clonkeenkerrill,To install drain to divert existing drains to river,12600,2022
Galway County Council,Derreen Gort,"Removal of blockages, pruning back of overhanging tree limbs & removal of trees on river bank",22500,2013
Galway County Council,Kilnahown Aughrim,River channel cleaning works,14940,2017
Galway County Council,Beagh Tuam,To extend a 900mm diameter pipe across the N83,14220,2016
Galway County Council,Ballyglunin,"Channel widening, upgrading culverts",60000,2010
Galway County Council,Longford Portumna,Installation of 2 sections of surface water drain totalling 250m & associated works,42750,2017
Galway County Council,Cornmucklagh Ahascragh Ballinasloe,Install storm water drainage system to discharge water to open drain,18000,2010
Galway County Council,Glenamaddy Turlough,"Flood Relief Feasibility Study to include Hydrological Study, Environmental Assessment & Preliminary Design Report",22140,2021
Galway County Council,Leenaun Graveyard & Parochial House,Rock armour works,49500,2020
Galway County Council,Castledaly River,River cleaning & blockages removal,10800,2020
Galway County Council,Peake Claregalway,Construct earthen embankment,4500,2010
Galway County Council,Caherlistrane,Install 900mm culvert & Raise road level by 500mm,27000,2010
Galway County Council,Crowe St. Gort,Channel maintenance and camera survey,32400,2011
Kerry County Council,Milltown Village,Study,2700,2010
Kerry County Council,N70 Garranearagh Caherciveen,Feasibility Study,5258,2015
Kerry County Council,Lough Guitane Killarney,To construct a RC flood defence wall,13950,2012
Kerry County Council,Dingle Bay East-Castlemaine Harbour,The procurement of additional survey work,18000,2020
Kerry County Council,"N70 Valentia Road, Cahersiveen",Construction of a new grating system & relaying of approx. 100m of culvert & associated works.,35924,2021
Kerry County Council,Clieveragh Listowel,"Site investigation, detailed design, preparation of tender documents & land acquisition",148370,2017
Kerry County Council,Flesk River Glenflesk (Phase 1 & 2),Clearance of vegetation of the river bank between Curreal Bridge at Glenflesk Village to Gortahoosh Bridge & Loo Bridge and associated works,53631,2019
Kerry County Council,Incheree,"Construct new embankment of approximately 360m & access road, pipe open drains and culvert Associated works",8237,2018
Kerry County Council,Ballylongford,Coastal flooding mitigation measures,13777,2015
Kerry County Council,Ballylongford,Coastal flooding mitigation measures,92187,2015
Kerry County Council,Ballyard,Works – Remove silt and accumulated stone from river & install additional drainage culvert.,13500,2009
Kerry County Council,Dingle Bay East - Castlemaine Harbour,The procurement of additional survey work,21038,2021
Kerry County Council,Fenit Road,Fenit Road Coastal Protection Scheme – Rock revetment & buttressing embankments,360000,2009
Kerry County Council,Feoghanagh,Clean silt and sand from rivers and estuaries,5400,2009
Kerry County Council,Incherea,The strengthening and raising of an existing embankment,80000,2012
Kerry County Council,Cromane,Embankment strengthening works,100000,2012
Kerry County Council,Dingle Bay East- Castlemaine Harbour,Coastal Erosion & Flood Risk Management Study,75000,2018
Kerry County Council,Clieveragh Listowel,Study,22495,2016
Kerry County Council,Cullavaw River Rathmore,"The removal of bushes, shrubbery & overhanging branches along the channel for 5.5 kms. Some removal of deposition from the channels",40000,2013
Kerry County Council,Emlagh West,To clear channel to increase hydraulic capacity,6300,2011
Kerry County Council,Fenit Road,Fenit Road Coastal Protection Scheme – Rock revetment & buttressing embankments,405000,2010
Kerry County Council,Castlemaine Harbour,"The consultant shall undertake a site visit, detailed historical review and desk study of all available information relating to coastal erosion/accretion and flooding risk at Dingle Bay East-Castlemaine Harbour. This includes a review of topographic and hydrographic surveys, airborne and terrestrial LiDAR surveys",2622,2022
Kerry County Council,Flesk River (phase 1 & 2),Clearance of vegetation of the river bank between Curreal Bridge at Glenflesk Village to Gortahoosh Bridge & Loo Bridge and associated works,7661,2020
Kerry County Council,Glenflesk,Study of recurring flooding in Glenflesk Village and N22,13500,2009
Kerry County Council,Dromartin Ballyduff,Construction of a reinforced concrete wall & associated works,34311,2020
Kerry County Council,Cappaclough Camp,To clean silt and sand from drainage channels and river,5400,2011
Kerry County Council,Ballyheigue-Banna-Carrahane & Brandon Bay Maharees (Tralee Bay),Coastal Erosion & Flood Risk Management Study,150000,2018
Kerry County Council,Ballyheigue,"Use of rock armour to stabilise the cliff, it will require a concrete toe anchored into rock. A detailed topographic & bathymetric survey required.",231489,2020
Kerry County Council,Flesk River Glenflesk (phase 1 & 2),Clearance of vegetation of the river bank between Curreal Bridge at Glenflesk Village to Gortahoosh Bridge & Loo Bridge and associated works,152986,2018
Kerry County Council,Caherleheen,Works – Widen culvert to Caherheen Bridge & incorporate river flow improvements.,27000,2009
Kerry County Council,Emlaghslat Ventry,To clean silt and sand from rivers & estuary of rivers,4500,2011
Kerry County Council,Goulane-Maherees,Clean silt and sand from rivers and estuaries,9000,2009
Kerry County Council,Tullig Castleisland,"Raising of retaining wall, culvert replacement at Tullig, storm water drainage pipe at Kilbannivane & associated works",144000,2014
Kerry County Council,Tralee,"The removal of debris, deposition & sediment under bridges and weir & associated works. Structural survey & inspection of bypass culverts.",44396,2015
Kerry County Council,Gallarus Ballydavid,To clean silt and sand from rivers & estuary of rivers,6300,2011
Kerry County Council,Rossbeigh,Construction of a rock revetment,450000,2018
Kerry County Council,Kenmare (Finnihy & Keelnagower Rivers),Clearance of vegetation along 0.6km length of the Finnihy & Keelnagower River banks,41912,2021
Kerry County Council,North Kerry Way National Trail Seawall (coastal),"Repairs to an existing seawall between The Spa & Cockleshell Road, Tralee",18124,2018
Kerry County Council,Currow,Construct an upgraded reinforced flood defence embankment & associated works,77406,2017
Kerry County Council,Waterville,,35492,2023
Kerry County Council,Tullig Castleisland,"Raising of retaining wall, culvert replacement at Tullig, storm water drainage pipe at Kilbannivane & associated works",58520,2016
Kerry County Council,Sneem,Flood Ass & hydrometric study of Sneem/Ardshellhane River,18000,2009
Kerry County Council,The Spa Seawall North Kerry Way,Repair to a breach in the sea wall along the North Kerry Way National Trail,24170,2020
Kerry County Council,Incheree,"Construct new embankment of approximately 360m & access road, pipe open drains and culvert & associated works",107016,2017
Kerry County Council,Ballyheigue,"Use of rock armour to stabilise the cliff, it will require a concrete toe anchored into rock",307910,2022
Kerry County Council,Ballyheigue,"Use of rock armour to stabilise the cliff, it will require a concrete toe anchored into rock.",191730,2022
Kerry County Council,"Kinard, Lispole","Stabilisation of the existing slope by soil nailing and shot creteing the cliff face. In addition, the surface water drainage networks in the vicinity of the proposed works to be altered",56796,2021
Kerry County Council,Cullavaw River Rathmore,Removal of instream gravel & silt build-up at various locations either side of the 3 no. road bridges along the Cullavaw River,4500,2015
Kerry County Council,Flesk River Glenflesk (Phase 1 & 2),Clearance of vegetation of the river bank between Curreal Bridge at Glenflesk Village to Gortahoosh Bridge & Loo Bridge and associated works,27000,2019
Kerry County Council,Kenmare Town,Removal of beam / drain under Finnihy Bridge / Installation of gauges / Establish monitoring programme,99000,2012
Kerry County Council,Kilfenora Fenit,Detailed Design Stage,176166,2018
Kerry County Council,Kenmare Town,Flood Ass & hydrometric study of the River Finnihy. Removal of beam / drain under Finnihy Bridge / Installation of gauges / Establish monitoring programme.(not proceeding with the removal of beam/drain),13500,2009
Kildare County Council,Tori River Celbridge,"Works-Diversion of river, upgrade of channels, construction of new channel, general maintenance",150000,2009
Kildare County Council,Sallins,"Culvert upgrade, embankment",500000,2010
Kildare County Council,Mooney's Stream Newbridge,Replace existing culverts with upgrade sections and re-grade existing drains & ditches,161483,2011
Kildare County Council,Ardclough,Construction / Replacement of canal & road crossings,306410,2010
Kildare County Council,Butterstream Clane,Construction of flood relief structures,356142,2010
Kildare County Council,Newtown Kilcock,Construct overflow pipeline,237912,2010
Kildare County Council,Confey Leixlip,Upgrade culvert,66556,2010
Kilkenny County Council,Fahee Kilmacow,Works-Drainage Works and Bridge Replacement,67500,2009
Kilkenny County Council,Thomastown,Site investigation,40000,2010
Kilkenny County Council,Callan,Construction of flood defence walls & embankments,270000,2010
Kilkenny County Council,Seskin Bridge Lisdowney,Replace Culvert,14850,2012
Kilkenny County Council,Mullinavat,"Channel clearance, construct walls, remove weir",72000,2010
Kilkenny County Council,Fanningstown & Owning,Study,9000,2016
Kilkenny County Council,Ballyfoyle Road,Construction of new culvert across Ballyfoyle Road / Construction of new culvert in private garden by trenchless technology / Clean open channel and other culverted sections of the stream,72000,2012
Kilkenny County Council,Clogh,Construction of embankment / Channel widening and maintenance,65000,2010
Kilkenny County Council,Callan (IPP),,124540,2024
Kilkenny County Council,Rathcurby Kilmacow,Installation of a new 350m open drain,33750,2023
Kilkenny County Council,Graiguenamanagh,"Channel clearance, construct wall",198000,2010
Kilkenny County Council,"Ardaloo, Jenkinstown",Flood Study/ Flood Risk Assessment of the area outlined,54000,2022
Kilkenny County Council,Graignamanagh (River Duiske),Removal of build up of silt and debris from the river channel through to the centre of town,36000,2011
Kilkenny County Council,Callan,Silt Mounds to be assessed and on-going issues with the current pumping arrangement that needs to be future proofed following recent flood events in Callan in Oct 2022,18000,2022
Kilkenny County Council,Gowran,"Provision of flood embankment and bridge arch, widening of channel",135000,2010
